ds,y,yhat,yhat_lower,yhat_upper,ape
2011-11-10,70513.29,56565.03902378885,43191.854878182894,70145.13112464418,0.19781024224243607
2011-11-11,37081.37,43526.03110875323,30646.04079505577,56503.255927128885,0.17379781568893568
2011-11-13,28607.78,32380.37329568621,19464.030838056406,46161.03381199041,0.1318729833522983
2011-11-14,58777.71,47519.72066304239,35573.282661891186,59839.682835801636,0.19153501109447119
2011-11-15,47729.0,54190.59705134519,41721.49641291552,68109.39795669998,0.13538094347975424
2011-11-16,48439.76,51293.52700632759,36889.89461142035,65576.72901278677,0.05891373132995678
2011-11-17,55885.3,63655.58756793996,50069.30750890404,77516.61860240124,0.13903991868952942
2011-11-18,36751.25,51244.28033970429,38248.4229457013,65308.67217908324,0.3943547590817806
2011-11-20,30190.920000000002,41325.70101754573,27768.05668993331,53672.7664663511,0.36881224611723423
2011-11-21,45333.13,57118.851965869435,43759.85131326784,71062.19228354802,0.2599803271000577
2011-11-22,49664.89,64259.594616883856,50050.67008219243,76930.6733518413,0.2938636251259966
2011-11-23,71979.93,61616.41807085286,47477.718506513804,74941.18440822375,0.1439777994942081
2011-11-24,38579.11,74191.94053615662,61054.568198701156,87806.67437991314,0.9231117704933218
2011-11-25,26674.66,61617.57779189176,48301.89304891274,74449.55446896846,1.3099667546612312
2011-11-27,17300.96,50893.51080913711,37563.50822993651,63674.411277573505,1.9416581975299123
2011-11-28,51831.67,66130.79730945473,51637.62328678001,79676.05336265292,0.27587626077752725
2011-11-29,48851.68,72431.72368356078,59447.05004796524,86695.37190386988,0.4826864436097341
2011-11-30,41481.23,68659.41374821463,55853.60190896992,82351.73682738269,0.655192330319391
2011-12-01,44533.99,80022.01438937162,67023.8797456592,94085.70300546613,0.7968750248826036
2011-12-02,44713.69,65847.46903295175,51910.22172306211,79424.58289214842,0.4726467225798574
2011-12-04,20375.96,51550.23345310126,37280.768692611215,65593.38762692835,1.5299536047921798
2011-12-05,58202.21,64972.05240078474,51645.34624113111,79620.91469945939,0.11631589935819864
2011-12-06,46144.04,69302.8704449366,56497.27156963571,82601.47059074797,0.5018812926856123
2011-12-07,69354.21,63433.29111287628,50677.92576950936,76962.02019624591,0.08537216251361997
2011-12-08,50519.41,72807.11399142095,59536.62586817012,87580.73243207281,0.4411711061435782
2011-12-09,184349.28,56475.344309846325,42716.8004716381,70503.81818577067,0.6936503125488404
